0,1,2,3,4
0,1,2,65,0
1,0,1,2,1
1,0,1,3,2
1,0,1,1,3
1,0,1,4,4
1,0,1,6,5
1,0,1,7,6
1,0,1,5,7
1,0,1,8,8
1,0,1,10,9
1,0,1,12,10
1,0,1,9,11
1,0,1,16,12
1,0,1,19,13
1,0,1,21,14
1,0,1,26,15
1,0,1,30,16
1,0,1,34,17
0,1,2,67,18
1,0,1,0,19
1,0,1,50,20
1,0,1,62,21
1,0,1,54,22
1,0,1,60,23
1,0,1,55,24
1,0,1,63,25
1,0,1,59,26
1,0,1,64,27
1,0,1,67,28
1,0,1,15,29
1,0,1,17,30
1,0,1,18,31
1,0,1,23,32
1,0,1,27,33
1,0,1,31,34
1,0,1,37,35
0,1,2,66,36
0,1,2,19,37
0,1,2,18,38
1,0,1,39,39
1,0,1,46,40
1,0,1,40,41
1,0,1,44,42
1,0,1,41,43
1,0,1,43,44
1,0,1,35,45
1,0,1,49,46
1,0,1,13,47
1,0,1,14,48
1,0,1,20,49
1,0,1,24,50
1,0,1,29,51
1,0,1,33,52
1,0,1,36,53
0,1,2,64,54
0,1,2,7,55
0,1,2,26,56
1,0,1,47,57
1,0,1,51,58
1,0,0,2,59
1,0,1,53,60
1,0,1,61,61
1,0,1,52,62
1,0,1,66,63
1,0,1,58,64
1,0,1,65,65
1,0,1,57,66
1,0,1,48,67
1,0,1,25,68
1,0,1,28,69
1,0,1,32,70
0,1,2,61,71
0,1,2,15,72
0,1,2,24,73
0,1,2,14,74
0,1,2,23,75
1,0,0,14,76
1,0,0,24,77
1,0,0,18,78
1,0,0,25,79
1,0,0,16,80
1,0,0,29,81
1,0,1,38,82
1,0,0,21,83
1,0,0,10,84
1,0,0,9,85
1,0,0,7,86
1,0,0,8,87
0,1,2,63,88
0,1,2,5,89
0,1,2,29,90
0,1,3,67,91
0,1,3,51,92
1,0,1,42,93
1,0,0,65,94
1,0,0,66,95
1,0,0,37,96
1,0,0,1,97
1,0,0,36,98
1,0,0,34,99
1,0,0,6,100
1,0,0,31,101
1,0,0,32,102
1,0,0,30,103
1,0,0,28,104
0,1,2,62,105
0,1,2,9,106
0,1,2,25,107
0,1,2,16,108
0,1,3,46,109
0,1,3,0,110
0,1,3,2,111
1,0,0,64,112
1,0,0,61,113
1,0,0,15,114
1,0,0,26,115
1,0,0,19,116
1,0,0,20,117
1,0,0,13,118
1,0,0,23,119
1,0,0,17,120
1,0,0,27,121
0,1,2,60,122
0,1,2,6,123
0,1,2,28,124
0,1,2,4,125
0,1,3,47,126
0,1,3,3,127
0,1,3,1,128
1,0,0,67,129
1,0,0,63,130
1,0,0,57,131
1,0,0,52,132
1,0,0,48,133
1,0,0,46,134
1,0,0,5,135
1,0,0,33,136
1,0,0,4,137
0,1,2,57,138
0,1,2,10,139
0,1,2,21,140
0,1,2,13,141
0,1,3,44,142
0,1,3,32,143
0,1,3,4,144
0,1,3,6,145
0,1,3,7,146
1,0,0,60,147
1,0,0,55,148
1,0,0,51,149
1,0,0,44,150
1,0,0,40,151
1,0,0,12,152
1,0,0,3,153
0,1,2,59,154
0,1,2,1,155
0,1,2,30,156
0,1,2,3,157
0,1,3,53,158
0,1,3,64,159
0,1,3,54,160
0,1,3,8,161
0,1,3,5,162
1,0,0,62,163
1,0,0,58,164
1,0,0,53,165
1,0,0,43,166
1,0,0,41,167
1,0,0,35,168
0,1,2,58,169
0,1,2,2,170
0,1,2,20,171
0,1,2,12,172
0,1,3,40,173
0,1,3,33,174
0,1,3,39,175
0,1,3,13,176
0,1,3,9,177
0,1,3,12,178
0,1,3,10,179
1,0,0,54,180
1,0,0,47,181
1,0,0,39,182
1,0,0,38,183
0,1,2,55,184
0,1,2,54,185
0,1,2,52,186
0,1,2,0,187
0,1,2,27,188
0,1,3,31,189
0,1,3,50,190
0,1,3,17,191
0,1,3,14,192
0,1,3,16,193
0,1,3,15,194
1,0,0,59,195
1,0,0,49,196
1,0,0,42,197
0,1,2,53,198
0,1,2,48,199
0,1,2,51,200
0,1,2,8,201
0,1,3,43,202
0,1,3,63,203
0,1,3,49,204
0,1,3,24,205
0,1,3,25,206
0,1,3,21,207
0,1,3,18,208
0,1,3,20,209
0,1,3,19,210
0,1,2,50,211
0,1,2,47,212
0,1,2,49,213
0,1,2,17,214
0,1,3,59,215
0,1,3,34,216
0,1,3,52,217
0,1,3,60,218
0,1,3,29,219
0,1,3,28,220
0,1,3,26,221
0,1,3,23,222
0,1,2,43,223
0,1,2,42,224
0,1,2,46,225
0,1,2,44,226
0,1,3,55,227
0,1,3,37,228
0,1,3,42,229
0,1,3,36,230
0,1,3,58,231
0,1,3,30,232
0,1,3,27,233
0,1,2,39,234
0,1,2,38,235
0,1,2,40,236
0,1,2,41,237
0,1,3,62,238
0,1,3,35,239
0,1,3,48,240
0,1,3,61,241
0,1,3,66,242
0,1,2,35,243
0,1,2,34,244
0,1,2,36,245
0,1,2,37,246
0,1,3,57,247
0,1,3,41,248
0,1,3,38,249
0,1,2,31,250
0,1,2,32,251
0,1,2,33,252
0,1,3,65,253
1,0,0,0,254
0,0,2,65,255
0,0,2,67,256
0,0,2,66,257
0,0,2,64,258
0,0,2,61,259
0,0,2,63,260
0,0,2,62,261
0,0,2,60,262
0,0,2,57,263
0,0,2,59,264
0,0,2,58,265
0,0,2,55,266
0,0,2,53,267
0,0,2,50,268
0,0,2,43,269
0,0,2,39,270
0,0,2,35,271
0,0,2,31,272
0,1,1,2,273
0,1,1,0,274
0,0,2,19,275
0,0,2,7,276
0,0,2,15,277
0,0,2,5,278
0,0,2,9,279
0,0,2,6,280
0,0,2,10,281
0,0,2,1,282
0,0,2,2,283
0,0,2,54,284
